points_x,Solar_Radiation_Flux,crs_x,lat,lon,time,points_y,Cloud_Cover_Mean_24h,crs_y,elevation
237,15609169.0,1,28.000000000003524,-8.600000000009743,2024-11-21,237,0.04846743,1,491
238,2493800.0,1,51.200000000002206,-0.8000000000101863,2024-12-14,238,0.7631979,1,97
239,,1,45.30000000000254,-82.80000000000553,2024-09-15,239,,1,175
240,27126344.0,1,51.00000000000222,57.19999999998652,2024-05-27,240,0.16976923,1,245
241,8425128.0,1,67.70000000000127,-68.60000000000633,2024-09-08,241,0.72624534,1,554
242,21033614.0,1,12.500000000004405,37.39999999998764,2024-12-11,242,0.07272466,1,2126
243,24709776.0,1,58.3000000000018,-126.70000000000303,2024-05-26,243,0.66009504,1,1329
244,23285474.0,1,8.400000000004638,45.69999999998717,2024-05-27,244,0.21180363,1,801
245,7524312.0,1,43.50000000000264,-114.40000000000373,2024-12-17,245,0.78066164,1,2067
246,18903084.0,1,-3.9999999999946567,27.799999999988188,2024-07-17,246,0.75399303,1,1224
247,15385076.0,1,-1.899999999994776,12.599999999989052,2024-11-03,247,0.9134891,1,812
248,30347602.0,1,30.00000000000341,96.89999999998429,2024-05-07,248,0.86810756,1,4095
249,17221934.0,1,35.70000000000309,98.59999999998416,2024-02-08,249,0.53132695,1,4191
250,10132326.0,1,35.200000000003115,118.49999999998306,2024-12-03,250,0.17661259,1,70
251,15941117.0,1,23.70000000000377,68.49999999998587,2024-12-25,251,0.0,1,10
252,22494258.0,1,16.000000000004206,98.19999999998419,2024-05-08,252,0.45289552,1,111
253,5460056.0,1,66.50000000000134,72.79999999998563,2024-09-23,253,0.8354718,1,19
254,26583490.0,1,63.900000000001484,121.2999999999829,2024-05-30,254,0.61431265,1,149
255,11076773.0,1,41.60000000000275,93.39999999998446,2024-10-24,255,0.76658595,1,1215
256,10712161.0,1,69.90000000000114,-75.50000000000594,2024-04-08,256,0.9559613,1,319
257,10036057.0,1,57.200000000001864,36.299999999987705,2024-09-19,257,0.63120496,1,144
258,22706534.0,1,-24.599999999993486,144.39999999998156,2024-09-08,258,0.024226889,1,239
259,12296438.0,1,18.300000000004076,102.89999999998395,2024-05-23,259,0.93819314,1,694
260,15969266.0,1,25.400000000003672,16.399999999988836,2024-12-11,260,0.55834585,1,580
261,21628882.0,1,-18.89999999999381,142.19999999998169,2024-04-21,261,0.3835414,1,130
262,22447808.0,1,-14.999999999994031,-70.50000000000622,2024-02-29,262,0.8267276,1,3920
263,18751432.0,1,5.100000000004826,35.09999999998777,2024-01-02,263,0.40584296,1,472
264,2403545.5,1,60.200000000001694,-121.60000000000332,2024-10-30,264,0.9554282,1,550
265,23010198.0,1,-12.19999999999419,-53.10000000000721,2024-09-10,265,0.2540548,1,316
266,17581024.0,1,67.60000000000127,17.699999999988762,2024-05-19,266,0.7387768,1,779
267,27853876.0,1,-27.399999999993327,132.39999999998224,2024-02-06,267,0.13807315,1,393
268,10591912.0,1,-16.999999999993918,-41.40000000000788,2024-06-08,268,0.7971113,1,756
269,30745064.0,1,-25.699999999993423,135.99999999998204,2024-01-09,269,0.051639054,1,121
270,9452019.0,1,35.60000000000309,119.09999999998297,2024-08-20,270,0.6330903,1,286
271,21183134.0,1,-9.899999999994321,-77.30000000000584,2024-04-08,271,0.8671808,1,4351
272,17038980.0,1,-22.39999999999361,28.499999999988148,2024-05-26,272,0.0051656156,1,778
273,1913307.6,1,58.10000000000181,101.399999999984,2024-10-30,273,0.94224924,1,343
274,22574282.0,1,49.90000000000228,101.79999999998398,2024-07-26,274,0.4287138,1,1741
275,16772540.0,1,-1.9999999999947704,-48.80000000000746,2024-05-10,275,0.7919236,1,18
276,14601056.0,1,6.500000000004746,-70.00000000000625,2024-05-31,276,0.7929595,1,98
277,18455124.0,1,29.50000000000344,-103.30000000000436,2024-02-23,277,0.71549004,1,994
278,21566216.0,1,39.400000000002876,97.09999999998422,2024-04-29,278,0.56725156,1,3060
279,17909782.0,1,60.60000000000167,36.89999999998767,2024-06-09,279,0.7615548,1,126
280,28388626.0,1,21.500000000003894,55.6999999999866,2024-04-25,280,0.033458397,1,61
281,5417566.0,1,69.70000000000115,23.599999999988427,2024-03-15,281,0.70378226,1,508
282,15400026.0,1,65.00000000000142,92.2999999999845,2024-04-22,282,0.96324635,1,428
283,10266341.0,1,-18.19999999999385,28.79999999998813,2024-04-13,283,0.9040558,1,1147
284,12813258.0,1,33.7000000000032,50.29999999998691,2024-12-05,284,0.33257937,1,1774
285,20790790.0,1,34.500000000003155,35.89999999998773,2024-09-10,285,0.17473093,1,3
286,22813762.0,1,17.00000000000415,2.6999999999896147,2024-08-14,286,0.73775196,1,419
287,17802016.0,1,-32.49999999999304,146.39999999998145,2024-04-21,287,0.014898305,1,357
288,18077688.0,1,-4.499999999994628,29.49999999998809,2024-04-08,288,0.77678734,1,767
289,19554416.0,1,43.00000000000267,19.899999999988637,2024-06-01,289,0.61066324,1,1168
290,20760012.0,1,19.10000000000403,-97.50000000000469,2024-12-14,290,0.318637,1,2645
291,19751060.0,1,12.300000000004417,98.4999999999842,2024-12-31,291,0.7830042,1,6
292,25455840.0,1,-19.59999999999377,137.59999999998195,2024-12-03,292,0.532647,1,259
293,29098770.0,1,32.900000000003246,9.799999999989211,2024-07-12,293,0.007590946,1,283
294,4007505.0,1,57.700000000001836,103.89999999998383,2024-11-05,294,0.8700065,1,455
295,24343894.0,1,37.10000000000301,46.8999999999871,2024-06-11,295,0.48803777,1,2141
296,16704467.0,1,6.2000000000047635,47.49999999998707,2024-07-26,296,0.6593396,1,197
297,29272882.0,1,30.500000000003382,25.699999999988307,2024-06-17,297,0.0076966425,1,211
298,16867958.0,1,-17.199999999993906,30.499999999988034,2024-06-09,298,0.25286597,1,1244
